Timestamp ,X ,Y ,Z
1675285740.1477804 ,[0.03506947] ,[0.42536423] ,[0.0813192]
1675285740.252509 ,[0.03683143] ,[0.44859706] ,[0.08330028]
1675285740.282202 ,[0.03690002] ,[0.44950144] ,[0.08380106]
1675285740.3182735 ,[0.03254041] ,[0.4491501] ,[0.08583672]
1675285740.3575022 ,[0.03198267] ,[0.44904748] ,[0.08614306]
1675285740.381264 ,[0.03464611] ,[0.44926169] ,[0.08359029]
1675285740.4117312 ,[0.03461873] ,[0.43283145] ,[0.08418581]
1675285740.438333 ,[0.03394693] ,[0.46611624] ,[0.08912842]
1675285740.4741712 ,[0.03420843] ,[0.44781993] ,[0.08702672]
1675285740.5033648 ,[0.03367294] ,[0.44803291] ,[0.08813934]
1675285740.5343206 ,[0.03335432] ,[0.44824293] ,[0.0881831]
1675285740.559506 ,[0.03316364] ,[0.44838541] ,[0.08818676]
1675285740.5839 ,[0.03373969] ,[0.45739118] ,[0.08891005]
1675285740.6042507 ,[0.03469252] ,[0.45529671] ,[0.08770657]
1675285740.628151 ,[0.03537368] ,[0.45377249] ,[0.08679137]
1675285740.6487212 ,[0.03586591] ,[0.45264778] ,[0.08608397]
1675285740.6699119 ,[0.03565061] ,[0.44419237] ,[0.08536736]
1675285740.6919212 ,[0.03604517] ,[0.44521886] ,[0.08575562]
1675285740.7137284 ,[0.03633798] ,[0.44599959] ,[0.08606487]
1675285740.734041 ,[0.03603106] ,[0.43976958] ,[0.08507913]
1675285740.7550888 ,[0.03579639] ,[0.43506764] ,[0.08427258]
1675285740.7761784 ,[0.03570222] ,[0.44460692] ,[0.08452922]
1675285740.796942 ,[0.03603722] ,[0.44549555] ,[0.08494805]
1675285740.8196657 ,[0.03629401] ,[0.44618757] ,[0.08529961]
1675285740.8419468 ,[0.03649088] ,[0.44681077] ,[0.08499785]
1675285740.8647113 ,[0.03664168] ,[0.44733929] ,[0.08445223]
1675285740.8859308 ,[0.03675696] ,[0.44775313] ,[0.08398733]
1675285740.908223 ,[0.03600794] ,[0.44799577] ,[0.08413548]
1675285740.9308243 ,[0.0354215] ,[0.44803183] ,[0.08532648]
1675285740.9532378 ,[0.03496215] ,[0.44806118] ,[0.08635705]
1675285740.975978 ,[0.03460231] ,[0.44819872] ,[0.08649367]
1675285740.9981818 ,[0.0347605] ,[0.45407642] ,[0.08645483]
1675285741.0197873 ,[0.03488575] ,[0.45869596] ,[0.08641958]
1675285741.0423396 ,[0.03455162] ,[0.45653229] ,[0.08724614]
1675285741.0644057 ,[0.03507676] ,[0.45492989] ,[0.08727692]
1675285741.0867715 ,[0.03549172] ,[0.45365905] ,[0.08730233]
